benchmark,calls_NoH,calls_H,time_NoH(s),time_H(s),speedup_time(NoH/H),calls_reduction_(%)
spi_0_b_6,5804,2698,32.430000,20.021000,1.619799,53.51
spi_10_b_6,3839,2116,15.269000,12.312000,1.240172,44.88
spi_1_b_6,3423,1993,14.876000,13.529000,1.099564,41.78
spi_2_b_6,3868,2115,17.218000,13.486000,1.276731,45.32
spi_3_b_6,4838,2521,30.495000,21.749000,1.402133,47.89
spi_4_b_6,2955,2054,11.215000,11.092000,1.011089,30.49
spi_5_b_6,5620,2573,27.288000,13.660000,1.997657,54.22
spi_6_b_6,3874,2207,18.393000,12.935000,1.421956,43.03
spi_7_b_6,3156,2038,10.582000,8.988000,1.177348,35.42
spi_8_b_6,3607,2075,16.352000,12.775000,1.280000,42.47
spi_9_b_6,3353,2149,13.466000,15.862000,0.848947,35.91
spi_0_b_7,13298,4168,104.764000,73.276000,1.429718,68.66
spi_10_b_7,6226,2812,60.749000,39.069000,1.554916,54.83
spi_1_b_7,5431,2689,47.556000,36.426000,1.305551,50.49
spi_2_b_7,5490,2607,41.982000,37.577000,1.117226,52.51
spi_3_b_7,10264,3586,121.129000,50.748000,2.386872,65.06
spi_4_b_7,6200,2714,54.399000,36.361000,1.496081,56.23
spi_5_b_7,9136,3242,61.827000,39.680000,1.558140,64.51
spi_6_b_7,7026,2818,52.424000,66.027000,0.793978,59.89
spi_7_b_7,5991,2585,48.695000,44.335000,1.098342,56.85
spi_8_b_7,6647,2712,47.720000,37.776000,1.263236,59.20
spi_9_b_7,6880,2701,48.758000,49.607000,0.982885,60.74
spi_10_b_8,9518,3379,303.778000,132.321000,2.295766,64.50
spi_2_b_8,8178,3206,160.081000,137.866000,1.161135,60.80
spi_3_b_8,12905,3937,158.731000,105.249000,1.508147,69.49
spi_4_b_8,10234,3380,173.182000,134.062000,1.291805,66.97
spi_5_b_8,13159,4001,252.913000,120.224000,2.103681,69.59
spi_6_b_8,13923,4100,176.178000,120.317000,1.464282,70.55
spi_7_b_8,10260,3625,244.323000,118.130000,2.068255,64.67
spi_8_b_8,10800,3420,236.931000,155.004000,1.528548,68.33
spi_9_b_8,11534,3351,190.590000,72.043000,2.645503,70.95
